Industry,Sector,job_state,Type of ownership,Size,Revenue,python_yn,spark,aws,excel,new_col,Revenue_num,Size_num,avg_salary
other,Insurance, TX,Company - Private,201 to 500 employees,Unknown / Non-Applicable,0,0,0,1,6,12,6,96.0
other,Insurance,other,Company - Private,1001 to 5000 employees,other,1,0,0,0,6,12,6,94.5
other,other, CA,Company - Private,1 to 50 employees,Unknown / Non-Applicable,1,0,1,1,6,12,6,111.0
other,other, CA,Company - Private,1 to 50 employees,other,1,1,0,0,6,12,6,113.5
other,other, CA,Company - Private,10000+ employees,Unknown / Non-Applicable,1,0,0,0,6,12,6,121.0
other,other, CA,Company - Private,1001 to 5000 employees,$1 to $2 billion (USD),0,0,0,1,6,12,6,81.5
other,other, CA,Company - Private,501 to 1000 employees,Unknown / Non-Applicable,0,0,0,1,6,12,6,85.5
other,other, CA,Company - Private,51 to 200 employees,$50 to $100 million (USD),1,0,0,0,6,12,6,148.0
other,other, CA,Company - Private,51 to 200 employees,Unknown / Non-Applicable,0,0,0,1,6,12,6,103.5
other,other, CA,Company - Private,51 to 200 employees,other,1,0,0,0,6,12,6,139.5
other,other, CA,Company - Public,1001 to 5000 employees,$10+ billion (USD),1,0,0,1,6,12,6,92.5
other,other, CA,Company - Public,1001 to 5000 employees,$10+ billion (USD),1,1,1,1,6,12,6,113.0
other,other, CA,Company - Public,1001 to 5000 employees,$500 million to $1 billion (USD),1,0,1,1,6,12,6,101.0
other,other, CA,Company - Public,5001 to 10000 employees,other,1,1,0,1,6,12,6,121.0
other,other, CA,Company - Public,5001 to 10000 employees,other,1,1,1,1,6,12,6,142.0
other,other, CA,Company - Public,501 to 1000 employees,$50 to $100 million (USD),0,0,0,0,6,12,6,139.5
other,other, CA,other,201 to 500 employees,other,1,0,1,0,6,12,6,103.0
other,other, CA,other,51 to 200 employees,$100 to $500 million (USD),0,0,0,1,6,12,6,51.5
other,other, IL,Company - Private,501 to 1000 employees,$100 to $500 million (USD),0,0,0,0,6,12,6,52.5
other,other, IL,Company - Private,501 to 1000 employees,Unknown / Non-Applicable,1,0,1,1,6,12,6,112.5
other,other, IL,Company - Public,10000+ employees,$10+ billion (USD),0,0,0,0,6,12,6,81.0
other,other, IL,Company - Public,1001 to 5000 employees,other,0,0,0,0,6,12,6,107.5
other,other, IL,Company - Public,1001 to 5000 employees,other,1,1,0,1,6,12,6,117.5
other,other, IL,Company - Public,5001 to 10000 employees,$1 to $2 billion (USD),1,0,0,1,6,12,6,140.0
other,other, MA,Company - Private,10000+ employees,$10+ billion (USD),1,0,0,1,6,12,6,62.5
other,other, MA,Company - Private,201 to 500 employees,$50 to $100 million (USD),0,0,0,1,6,12,6,100.5
other,other, MA,Nonprofit Organization,5001 to 10000 employees,$1 to $2 billion (USD),1,0,0,1,6,12,6,69.5
other,other, MD,Company - Private,501 to 1000 employees,Unknown / Non-Applicable,0,0,0,1,6,12,6,73.5
other,other, NJ,Company - Public,10000+ employees,$10+ billion (USD),0,0,0,1,6,12,6,116.5
other,other, NJ,Company - Public,1001 to 5000 employees,other,1,0,0,1,6,12,6,109.5
other,other, NJ,Company - Public,5001 to 10000 employees,other,0,0,1,0,6,12,6,82.5
other,other, NJ,Company - Public,501 to 1000 employees,other,0,0,1,0,6,12,6,58.0
other,other, NJ,other,1001 to 5000 employees,Unknown / Non-Applicable,0,0,0,1,6,12,6,146.0
other,other, NY,Company - Private,1001 to 5000 employees,other,0,0,0,1,6,12,6,65.0
other,other, NY,Company - Private,1001 to 5000 employees,other,1,0,0,1,6,12,6,53.5
other,other, NY,Company - Private,1001 to 5000 employees,other,1,1,0,0,6,12,6,74.5
other,other, NY,Company - Private,201 to 500 employees,$100 to $500 million (USD),0,0,0,1,6,12,6,87.0
other,other, NY,Company - Private,201 to 500 employees,$100 to $500 million (USD),1,0,0,1,6,12,6,87.5
other,other, NY,Company - Private,501 to 1000 employees,Unknown / Non-Applicable,1,0,0,1,6,12,6,97.5
other,other, NY,Company - Private,51 to 200 employees,Unknown / Non-Applicable,1,0,1,0,6,12,6,75.5
other,other, NY,Company - Public,1001 to 5000 employees,$500 million to $1 billion (USD),1,0,0,0,6,12,6,128.0
other,other, NY,other,10000+ employees,other,0,0,1,1,6,12,6,73.0
other,other, NY,other,1001 to 5000 employees,$100 to $500 million (USD),1,0,0,1,6,12,6,59.5
other,other, NY,other,1001 to 5000 employees,$500 million to $1 billion (USD),1,1,0,0,6,12,6,128.0
other,other, PA,Company - Private,1001 to 5000 employees,$1 to $2 billion (USD),1,0,0,0,6,12,6,98.0
other,other, PA,Company - Public,10000+ employees,other,1,0,0,0,6,12,6,85.0
other,other, PA,other,501 to 1000 employees,Unknown / Non-Applicable,0,0,0,0,6,12,6,124.0
other,other, PA,other,501 to 1000 employees,Unknown / Non-Applicable,0,0,0,1,6,12,6,73.5
other,other, PA,other,501 to 1000 employees,Unknown / Non-Applicable,1,0,0,0,6,12,6,115.83333333333333
other,other, PA,other,501 to 1000 employees,Unknown / Non-Applicable,1,0,0,1,6,12,6,124.0
other,other, TX,Company - Private,1001 to 5000 employees,$100 to $500 million (USD),1,0,0,1,6,12,6,85.0
other,other, TX,Company - Public,10000+ employees,$10+ billion (USD),0,0,0,0,6,12,6,139.0
other,other, TX,Company - Public,201 to 500 employees,$1 to $2 billion (USD),1,0,1,1,6,12,6,95.0
other,other, TX,other,1001 to 5000 employees,Unknown / Non-Applicable,1,0,0,0,6,12,6,87.5
other,other, TX,other,501 to 1000 employees,Unknown / Non-Applicable,1,0,1,0,6,12,6,105.5
other,other, VA,Nonprofit Organization,201 to 500 employees,other,1,0,0,1,6,12,6,61.5
other,other, VA,Nonprofit Organization,5001 to 10000 employees,$1 to $2 billion (USD),0,0,0,0,6,12,6,77.5
other,other, VA,Nonprofit Organization,5001 to 10000 employees,$1 to $2 billion (USD),1,0,0,1,6,12,6,97.5
other,other, VA,Nonprofit Organization,5001 to 10000 employees,$1 to $2 billion (USD),1,1,0,0,6,12,6,81.5
other,other, VA,Nonprofit Organization,5001 to 10000 employees,$1 to $2 billion (USD),1,1,0,1,6,12,6,106.5
other,other,other,Company - Private,10000+ employees,$10+ billion (USD),1,0,0,0,6,12,6,98.0
other,other,other,Company - Private,1001 to 5000 employees,$1 to $2 billion (USD),0,0,0,1,6,12,6,77.5
other,other,other,Company - Private,1001 to 5000 employees,$100 to $500 million (USD),0,0,0,1,6,12,6,107.5
other,other,other,Company - Private,1001 to 5000 employees,$100 to $500 million (USD),1,1,1,1,6,12,6,99.5
other,other,other,Company - Private,1001 to 5000 employees,$500 million to $1 billion (USD),1,0,0,0,6,12,6,96.0
other,other,other,Company - Private,1001 to 5000 employees,Unknown / Non-Applicable,0,0,0,0,6,12,6,79.0
other,other,other,Company - Private,1001 to 5000 employees,Unknown / Non-Applicable,0,1,0,1,6,12,6,70.5
other,other,other,Company - Private,201 to 500 employees,Unknown / Non-Applicable,1,0,0,0,6,12,6,105.0
other,other,other,Company - Private,5001 to 10000 employees,$10+ billion (USD),0,0,0,0,6,12,6,103.5
other,other,other,Company - Private,5001 to 10000 employees,$10+ billion (USD),0,0,0,1,6,12,6,96.0
other,other,other,Company - Private,501 to 1000 employees,$1 to $2 billion (USD),0,0,0,1,6,12,6,61.0
other,other,other,Company - Private,501 to 1000 employees,$50 to $100 million (USD),0,0,0,0,6,12,6,80.5
other,other,other,Company - Private,501 to 1000 employees,$50 to $100 million (USD),0,0,0,1,6,12,6,63.5
other,other,other,Company - Private,501 to 1000 employees,Unknown / Non-Applicable,0,0,0,0,6,12,6,54.0
other,other,other,Company - Public,10000+ employees,other,1,1,1,1,6,12,6,104.5
other,other,other,Company - Public,1001 to 5000 employees,$1 to $2 billion (USD),0,0,1,1,6,12,6,60.0
other,other,other,Company - Public,1001 to 5000 employees,$500 million to $1 billion (USD),1,0,0,0,6,12,6,107.5
other,other,other,Company - Public,1001 to 5000 employees,$500 million to $1 billion (USD),1,0,0,1,6,12,6,124.5
other,other,other,Company - Public,5001 to 10000 employees,$1 to $2 billion (USD),1,1,0,0,6,12,6,85.0
other,other,other,Company - Public,501 to 1000 employees,$500 million to $1 billion (USD),1,0,0,1,6,12,6,87.0
other,other,other,Nonprofit Organization,10000+ employees,Unknown / Non-Applicable,0,0,0,0,6,12,6,72.0
other,other,other,Nonprofit Organization,10000+ employees,Unknown / Non-Applicable,0,0,0,1,6,12,6,107.0
other,other,other,Nonprofit Organization,10000+ employees,Unknown / Non-Applicable,0,0,1,1,6,12,6,62.333333333333336
other,other,other,Nonprofit Organization,1001 to 5000 employees,Unknown / Non-Applicable,0,0,0,1,6,12,6,52.5
other,other,other,Nonprofit Organization,501 to 1000 employees,$50 to $100 million (USD),1,0,0,0,6,12,6,93.5
other,other,other,Nonprofit Organization,51 to 200 employees,other,1,0,0,1,6,12,6,84.0
other,other,other,other,1 to 50 employees,other,0,0,0,1,6,12,6,96.0
other,other,other,other,1001 to 5000 employees,$500 million to $1 billion (USD),0,0,0,0,6,12,6,90.21428571428571
other,other,other,other,1001 to 5000 employees,$500 million to $1 billion (USD),1,0,0,0,6,12,6,74.6
other,other,other,other,201 to 500 employees,Unknown / Non-Applicable,1,0,1,0,6,12,6,107.0
other,other,other,other,501 to 1000 employees,Unknown / Non-Applicable,1,1,1,1,6,12,6,65.0
other,other,other,other,51 to 200 employees,$50 to $100 million (USD),1,0,0,0,6,12,6,120.0
